new_skill_id,skill_raw,taxonomy_id,skill_name,confidence_score,match_status,strategy_used,top1,score_bi_encoder_top1,top2,score_bi_encoder_top2,top3,score_bi_encoder_top3,top4,score_bi_encoder_top4,top5,score_bi_encoder_top5
22,cloud computing,81,Spark,0.54,matched,ai_rerank,Spark,0.8379,Infrastructure as Code,0.8371,Hadoop,0.837,Azure,0.8363,Google Cloud Platform,0.8333
23,AWS,66,AWS,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
24,engenharia de dados,51,Engenharia de Dados,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
25,ETL,52,ETL e ELT,0.99,matched,ai_rerank,ETL e ELT,0.8274,Séries Temporais,0.7801,Tableau,0.775,Large Language Models,0.773,Liderança Técnica,0.7729
26,visão de produto,14,Visão de Produto,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
27,Product Sense,14,Visão de Produto,0.92,matched,ai_rerank,Visão de Produto,0.8196,Experimentação e Testes A/B,0.8111,Gestão de Produto,0.8101,Cultura Organizacional,0.8088,Compliance e Regulação,0.8083
28,Alinhamento com o universo,—,—,0.01,no_match,insufficient_confidence,Adaptabilidade,0.8381,Gestão de Stakeholders,0.8325,Gestão de Produto,0.8313,Modelagem de Dados,0.8291,Colaboração,0.8288
29,inteligência emocional,4,Inteligência Emocional,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
30,negociação,5,Negociação,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
31,data governance,—,—,0.12,no_match,insufficient_confidence,Qualidade de Dados,0.83,Data Warehouse,0.8294,Storytelling com Dados,0.8228,Power BI,0.8211,Segurança de Dados,0.8173
32,feature extraction,—,—,0.05,no_match,insufficient_confidence,Engenharia de Features,0.8411,Large Language Models,0.8236,Análise de Dados,0.8201,ETL e ELT,0.8166,Hugging Face,0.8145
33,auto-organização,11,Autogestão,0.56,matched,ai_rerank,Autogestão,0.8524,Kubernetes,0.8324,Gestão do Tempo,0.831,Inteligência Emocional,0.8305,Facilitação,0.8297
34,excel básico,—,—,0.1,no_match,insufficient_confidence,Excel Avançado,0.847,Desenvolvimento de APIs,0.8277,Tableau,0.8243,Java,0.8238,TypeScript,0.8233
35,SQL,32,SQL,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
36,trabalho colaborativo,13,Colaboração,0.97,matched,ai_rerank,Colaboração,0.8753,Versionamento de Código,0.859,UX Research,0.8343,Mentoria,0.8341,Escrita Profissional,0.8302
37,emotional regulation,—,—,0.07,no_match,insufficient_confidence,Inteligência Emocional,0.8368,Adaptabilidade,0.8157,Gestão de Riscos,0.8101,MLflow,0.8096,Tomada de Decisão,0.8071
38,risk management,93,Gestão de Riscos,1.0,matched,ai_rerank,Gestão de Riscos,0.851,Gestão de Projetos,0.8378,Empreendedorismo,0.8307,Gestão de Mudanças,0.8292,MLflow,0.8279
39,cash flow analysis,—,—,0.03,no_match,insufficient_confidence,MLflow,0.8318,Análise Financeira,0.8315,Orquestração de Pipelines,0.8255,Data Warehouse,0.8157,Modelagem Financeira,0.8156
40,imagens docker,63,Docker,0.41,matched,ai_rerank,Docker,0.8485,Looker,0.8322,Data Warehouse,0.8314,Azure,0.8237,Kubernetes,0.8218
41,micro services,75,Microsserviços,1.0,matched,ai_rerank,Microsserviços,0.8408,Azure,0.8269,AWS,0.82,Google Cloud Platform,0.8158,MLflow,0.8094
42,orientação a dados,15,Orientação a Dados,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
43,modelos de embedding,44,Embeddings e Busca Vetorial,0.93,matched,ai_rerank,Embeddings e Busca Vetorial,0.8377,Engenharia de Features,0.831,Large Language Models,0.828,Modelagem de Dados,0.8262,Java,0.8261
44,statistical experimentation,50,Experimentação e Testes A/B,0.9,matched,ai_rerank,Estatística Aplicada,0.8283,Experimentação e Testes A/B,0.8253,MLflow,0.8224,Machine Learning,0.8179,UX Research,0.8165
45,gestão de capital humano,—,—,0.14,no_match,insufficient_confidence,Gestão de Pessoas,0.8813,Gestão de Desempenho,0.869,Gestão do Tempo,0.8671,Gestão de Mudanças,0.8641,Gestão de Projetos,0.8567
46,empathy mapping,—,—,0.02,no_match,insufficient_confidence,Inteligência Emocional,0.8148,Gestão de Stakeholders,0.8114,Adaptabilidade,0.8102,Data Warehouse,0.8083,FastAPI,0.8081
47,infrastructure automation,—,—,0.14,no_match,insufficient_confidence,Infrastructure as Code,0.8537,CI/CD,0.834,Kubernetes,0.8318,Azure,0.8295,Orquestração de Pipelines,0.8269
48,versatilidade,—,—,0.14,no_match,insufficient_confidence,Adaptabilidade,0.8378,Docker,0.8357,Colaboração,0.8303,Kubernetes,0.8265,Aprendizado Contínuo,0.8253
49,supporting growth,24,Mentoria,0.88,matched,ai_rerank,Mentoria,0.84,Desenvolvimento Organizacional,0.8164,Análise Financeira,0.8146,Colaboração,0.8096,Treinamento e Desenvolvimento,0.8061
50,BDD,80,dbt,0.96,matched,ai_rerank,Machine Learning,0.7897,Looker,0.7878,CI/CD,0.78,dbt,0.7797,Qualidade de Dados,0.7784
51,redação profissional,23,Escrita Profissional,0.95,matched,ai_rerank,Escrita Profissional,0.8709,Comunicação Assertiva,0.8405,Employer Branding,0.834,Aprendizado Contínuo,0.8329,Versionamento de Código,0.8281
52,DCF,—,—,0.08,no_match,insufficient_confidence,MLflow,0.7864,Orquestração de Pipelines,0.7796,dbt,0.7747,Colaboração,0.7721,Langfuse,0.7719
53,git,—,—,0.23,no_match,insufficient_confidence,Versionamento de Código,0.8313,CI/CD,0.8141,Redis,0.8117,Bash e Shell Script,0.8096,ETL e ELT,0.8086
54,negotiation tactics,—,—,0.34,no_match,insufficient_confidence,Negociação,0.8398,Large Language Models,0.8097,Resolução de Conflitos,0.8067,Comunicação Assertiva,0.8049,Adaptabilidade,0.804
55,organização pessoal,1,Gestão de Pessoas,0.64,matched,ai_rerank,Autogestão,0.8534,Gestão do Tempo,0.8474,Resolução de Conflitos,0.8411,Gestão de Pessoas,0.8396,Inteligência Emocional,0.8345
56,python avançado,—,—,0.29,no_match,insufficient_confidence,Python,0.8527,FastAPI,0.8445,Excel Avançado,0.8394,PostgreSQL,0.8373,Spark,0.8332
57,data schema,—,—,0.07,no_match,insufficient_confidence,Modelagem de Dados,0.8521,Data Warehouse,0.8466,Streaming de Dados,0.8303,Engenharia de Dados,0.8295,Spark,0.829
58,gerenciamento de projetos,18,Gestão de Projetos,1.0,matched,ai_rerank,Gestão de Projetos,0.9089,Gestão de Riscos,0.875,Gestão do Tempo,0.8674,Gestão de Stakeholders,0.8634,Gestão de Desempenho,0.854
59,multivariate testing,—,—,0.11,no_match,insufficient_confidence,Machine Learning,0.8236,MLflow,0.8232,Testes Automatizados,0.8215,Estatística Aplicada,0.82,Experimentação e Testes A/B,0.8148
60,independent execution,11,Autogestão,0.78,matched,ai_rerank,Autogestão,0.8116,Microsserviços,0.8053,Pensamento Crítico,0.8012,Machine Learning,0.8011,Orientação a Dados,0.8001
61,vector databases,44,Embeddings e Busca Vetorial,0.66,matched,ai_rerank,Embeddings e Busca Vetorial,0.8389,Qualidade de Dados,0.8333,Data Warehouse,0.8315,MongoDB,0.8286,Modelagem de Dados,0.8277
62,people manager,1,Gestão de Pessoas,0.99,matched,ai_rerank,Gestão de Pessoas,0.8314,Gestão de Mudanças,0.8272,Resolução de Conflitos,0.8172,Colaboração,0.8153,Inteligência Emocional,0.815
63,personal organization,1,Gestão de Pessoas,0.43,matched,ai_rerank,Autogestão,0.8309,Cultura Organizacional,0.8211,Gestão de Pessoas,0.816,Gestão do Tempo,0.8158,Colaboração,0.8152
64,desenvolvimento de APIs,61,Desenvolvimento de APIs,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
65,power bi,76,Power BI,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
66,dealing with change,—,—,0.15,no_match,insufficient_confidence,Adaptabilidade,0.8259,Gestão de Mudanças,0.8213,Tomada de Decisão,0.8138,Resolução de Conflitos,0.8087,Colaboração,0.8077
67,hive,—,—,0.29,no_match,insufficient_confidence,Resolução de Conflitos,0.8039,Hadoop,0.8011,Redis,0.7995,Desenvolvimento de APIs,0.799,Spark,0.797
68,continuous integration,65,CI/CD,0.92,matched,ai_rerank,CI/CD,0.8357,Planejamento Estratégico,0.8258,Aprendizado Contínuo,0.8234,Qualidade de Dados,0.8213,Colaboração,0.8197
69,mentalidade de dono,30,Empreendedorismo,0.73,matched,ai_rerank,Empreendedorismo,0.8667,Foco no Cliente,0.8278,Autogestão,0.8263,Adaptabilidade,0.8252,Gestão do Tempo,0.8244
70,version control,—,—,0.04,no_match,insufficient_confidence,Versionamento de Código,0.8482,MLflow,0.8351,Qualidade de Dados,0.8349,Desenvolvimento de APIs,0.8328,Gestão de Riscos,0.8307
71,spark SQL,81,Spark,0.84,matched,ai_rerank,Spark,0.8693,Streaming de Dados,0.8637,SQL,0.8434,Scala,0.8386,Data Warehouse,0.8295
72,balance sheet analysis,—,—,0.1,no_match,insufficient_confidence,Análise Financeira,0.8231,Análise de Dados,0.8202,Data Warehouse,0.8158,Power BI,0.8147,MLflow,0.8121
73,object detection,—,—,0.05,no_match,insufficient_confidence,Machine Learning,0.8242,Langfuse,0.813,MLflow,0.8125,Spark,0.8115,Foco no Cliente,0.8109
74,employee development,99,Employer Branding,0.43,matched,ai_rerank,Treinamento e Desenvolvimento,0.8281,Employer Branding,0.8275,Aprendizado Contínuo,0.82,Mentoria,0.8173,Desenvolvimento Organizacional,0.8132
75,managing group dynamics,20,Facilitação,0.52,matched,ai_rerank,Facilitação,0.8458,Gestão de Mudanças,0.8378,Resolução de Conflitos,0.8326,Gestão de Pessoas,0.8315,Gestão de Desempenho,0.822
76,OLAP,—,—,0.33,no_match,insufficient_confidence,Spark,0.8095,FastAPI,0.8062,SQL,0.8044,Planejamento Estratégico,0.804,Tableau,0.8038
77,js,—,—,0.32,no_match,insufficient_confidence,JavaScript,0.8479,TypeScript,0.8305,Java,0.8285,R,0.8274,Versionamento de Código,0.8151
78,tech lead,25,Liderança Técnica,1.0,matched,ai_rerank,Liderança Técnica,0.8322,Adaptabilidade,0.8146,Gestão de Produto,0.807,Gestão do Tempo,0.8069,TypeScript,0.8041
79,orquestração de workflows,—,—,0.29,no_match,insufficient_confidence,Orquestração de Pipelines,0.8941,Kubernetes,0.8632,MLflow,0.8533,Versionamento de Código,0.8388,Bash e Shell Script,0.8378
80,negociação comercial,—,—,0.36,no_match,insufficient_confidence,Negociação,0.8819,Visão de Produto,0.8342,Comunicação Assertiva,0.8209,Resolução de Conflitos,0.8195,Experimentação e Testes A/B,0.8192
81,visualização de dados,—,—,0.39,no_match,insufficient_confidence,R,0.8929,Tableau,0.8767,Orientação a Dados,0.8626,Análise de Dados,0.855,Looker,0.8547
82,promover cultura,100,Cultura Organizacional,0.93,matched,ai_rerank,Cultura Organizacional,0.8593,Employer Branding,0.8245,Mentoria,0.8222,Treinamento e Desenvolvimento,0.8188,UX Research,0.8177
83,gerenciamento de times,10,Gestão do Tempo,0.97,matched,ai_rerank,Gestão do Tempo,0.8637,Gestão de Desempenho,0.8513,Gestão de Pessoas,0.8496,Liderança Técnica,0.8494,Gestão de Projetos,0.8484
84,LGPD compliance,71,Segurança de Dados,0.57,matched,ai_rerank,Langfuse,0.8002,Google Cloud Platform,0.791,Segurança de Dados,0.79,MLflow,0.7899,LangChain,0.7882
85,aprendizado não supervisionado,40,Machine Learning,0.99,matched,ai_rerank,Machine Learning,0.8936,Deep Learning,0.8331,Autogestão,0.832,Azure,0.8243,Segurança de Dados,0.8223
86,fluxo de caixa descontado,—,—,0.01,no_match,insufficient_confidence,Orquestração de Pipelines,0.8161,Microsserviços,0.8093,MLflow,0.8087,Spark,0.808,Versionamento de Código,0.8074
87,langchain,83,LangChain,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
88,priorização,—,—,0.23,no_match,insufficient_confidence,Adaptabilidade,0.8532,Foco no Cliente,0.8516,Gestão do Tempo,0.8373,Autogestão,0.8365,Pensamento Crítico,0.8326
89,validação de modelos,46,Avaliação de Modelos,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
90,team conflict resolution,3,Resolução de Conflitos,1.0,matched,ai_rerank,Resolução de Conflitos,0.8538,Resolução de Problemas,0.8077,Inteligência Emocional,0.8039,Colaboração,0.8031,Comunicação Assertiva,0.7988
91,APM,—,—,0.21,no_match,insufficient_confidence,Spark,0.7837,AWS,0.783,Adaptabilidade,0.7785,Desenvolvimento de APIs,0.7762,LangChain,0.7744
92,mudança organizacional,28,Gestão de Mudanças,0.84,matched,ai_rerank,Gestão de Mudanças,0.8652,Cultura Organizacional,0.8529,Desenvolvimento Organizacional,0.8511,Pensamento Estratégico,0.8319,Planejamento Estratégico,0.8319
93,integridade de dados,—,—,0.08,no_match,insufficient_confidence,Qualidade de Dados,0.8689,Modelagem de Dados,0.8617,Orientação a Dados,0.8604,Segurança de Dados,0.8562,Análise de Dados,0.8497
94,pipeline de ML,85,Langfuse,0.89,matched,ai_rerank,MLflow,0.8601,Langfuse,0.8598,Processamento de Linguagem Natural,0.8522,Orquestração de Pipelines,0.8416,Large Language Models,0.8404
95,busca vetorial,44,Embeddings e Busca Vetorial,0.95,matched,ai_rerank,Embeddings e Busca Vetorial,0.8609,Looker,0.8264,MLflow,0.8243,Visão Computacional,0.8233,Langfuse,0.8224
96,image processing,—,—,0.1,no_match,insufficient_confidence,Spark,0.8284,Streaming de Dados,0.8191,Scala,0.8133,Hadoop,0.8079,Langfuse,0.8073
97,pensar como empreendedor,30,Empreendedorismo,0.76,matched,ai_rerank,Empreendedorismo,0.8684,Design Thinking,0.847,Inovação,0.8422,Visão de Produto,0.8375,Mentoria,0.8345
98,people leadership,1,Gestão de Pessoas,1.0,matched,ai_rerank,Gestão de Pessoas,0.8289,Mentoria,0.8265,Liderança Técnica,0.8241,Colaboração,0.82,Resolução de Conflitos,0.8188
99,automação de workflows,—,—,0.06,no_match,insufficient_confidence,Orquestração de Pipelines,0.8593,MLflow,0.8499,Bash e Shell Script,0.8434,Excel Avançado,0.8426,Gestão de Mudanças,0.84
100,model monitoring,46,Avaliação de Modelos,0.96,matched,ai_rerank,MLflow,0.8446,Machine Learning,0.8339,Séries Temporais,0.8318,Langfuse,0.8315,Avaliação de Modelos,0.8309
101,real-time processing,54,Streaming de Dados,0.95,matched,ai_rerank,Streaming de Dados,0.8499,Spark,0.8315,Large Language Models,0.8278,Gestão do Tempo,0.8248,Scala,0.8196
102,transformers architecture,—,—,0.05,no_match,insufficient_confidence,Data Warehouse,0.8045,Looker,0.7995,Infrastructure as Code,0.794,Liderança Técnica,0.7924,Engenharia de Features,0.7923
103,deep learning,41,Deep Learning,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
104,transformar dados em histórias,21,Storytelling com Dados,0.63,matched,ai_rerank,Storytelling com Dados,0.8764,Análise de Dados,0.8636,Data Warehouse,0.853,ETL e ELT,0.8526,Streaming de Dados,0.8515
105,apache spark,81,Spark,1.0,matched,ai_rerank,Spark,0.8627,Streaming de Dados,0.824,Desenvolvimento de APIs,0.7951,Data Warehouse,0.7896,Scala,0.7892
106,estratégia de branches,—,—,0.04,no_match,insufficient_confidence,LangChain,0.8295,Employer Branding,0.8269,Metodologias Ágeis,0.8258,Infrastructure as Code,0.8251,Pensamento Crítico,0.825
107,SOLID principles,—,—,0.03,no_match,insufficient_confidence,Desenvolvimento de APIs,0.8072,Resolução de Problemas,0.7939,TypeScript,0.7914,Orientação a Dados,0.7911,Microsserviços,0.7892
108,gestão emocional,4,Inteligência Emocional,0.87,matched,ai_rerank,Inteligência Emocional,0.873,Gestão do Tempo,0.8603,Gestão de Desempenho,0.855,Gestão de Mudanças,0.853,Gestão de Pessoas,0.8481
109,named entity recognition,—,—,0.01,no_match,insufficient_confidence,Inteligência Emocional,0.7977,Employer Branding,0.7957,Gestão de Stakeholders,0.7952,Engenharia de Features,0.7942,Qualidade de Dados,0.7933
110,análise de dados avançada,—,—,0.17,no_match,insufficient_confidence,Análise de Dados,0.8705,Análise Financeira,0.8665,Orientação a Dados,0.8566,Excel Avançado,0.8547,Pensamento Crítico,0.8544
111,test-driven development,—,—,0.04,no_match,insufficient_confidence,Testes Automatizados,0.8314,TypeScript,0.8203,Python,0.8173,Experimentação e Testes A/B,0.8165,Mentoria,0.8156
112,seleção de candidatos,95,Recrutamento e Seleção,0.48,matched,ai_rerank,Recrutamento e Seleção,0.8459,Tomada de Decisão,0.831,Negociação,0.8295,Design Thinking,0.8291,Pensamento Crítico,0.8254
113,sourcing de talentos,—,—,0.04,no_match,insufficient_confidence,Employer Branding,0.83,Streaming de Dados,0.8273,Aprendizado Contínuo,0.8257,Mentoria,0.8247,Empreendedorismo,0.8242
114,hdfs,—,—,0.1,no_match,insufficient_confidence,Hadoop,0.8119,Langfuse,0.8077,Data Warehouse,0.8019,MLflow,0.8017,Segurança de Dados,0.7996
115,busca semântica,44,Embeddings e Busca Vetorial,0.44,matched,ai_rerank,Embeddings e Busca Vetorial,0.8719,UX Research,0.8359,Experimentação e Testes A/B,0.8328,Design Thinking,0.8273,Aprendizado Contínuo,0.8269
116,google cloud services,67,Google Cloud Platform,1.0,matched,ai_rerank,Google Cloud Platform,0.8632,AWS,0.8294,Azure,0.8196,Spark,0.8153,Infrastructure as Code,0.8077
117,container,63,Docker,0.78,matched,ai_rerank,Kubernetes,0.8405,Docker,0.8377,Data Warehouse,0.7987,MLflow,0.7984,Spark,0.7973
118,retrieval augmented generation,—,—,0.0,no_match,insufficient_confidence,MLflow,0.8168,Hugging Face,0.8132,Google Cloud Platform,0.8063,Machine Learning,0.8054,Large Language Models,0.805
119,fórmulas excel,—,—,0.25,no_match,insufficient_confidence,Excel Avançado,0.8608,MLflow,0.8297,Modelagem Financeira,0.8292,Estatística Aplicada,0.827,Planejamento Estratégico,0.8251
120,seleção de candidatos,95,Recrutamento e Seleção,0.48,matched,ai_rerank,Recrutamento e Seleção,0.8459,Tomada de Decisão,0.831,Negociação,0.8295,Design Thinking,0.8291,Pensamento Crítico,0.8254
121,psql,—,—,0.27,no_match,insufficient_confidence,PostgreSQL,0.8378,SQL,0.8261,MongoDB,0.8182,Desenvolvimento de APIs,0.8163,Tableau,0.8103
122,excel,78,Excel Avançado,0.51,matched,ai_rerank,Excel Avançado,0.8412,ETL e ELT,0.8309,R,0.8282,Análise Financeira,0.8271,Estatística Aplicada,0.8251
123,spark streaming,54,Streaming de Dados,0.97,matched,ai_rerank,Streaming de Dados,0.8747,Spark,0.8563,Scala,0.8043,MLflow,0.7984,Orquestração de Pipelines,0.7942
124,definir estratégia,17,Pensamento Estratégico,0.85,matched,ai_rerank,Planejamento Estratégico,0.823,Adaptabilidade,0.8213,Negociação,0.8184,Liderança Técnica,0.8177,Pensamento Estratégico,0.8143
125,apache airflow,—,—,0.37,no_match,insufficient_confidence,Orquestração de Pipelines,0.8377,Spark,0.8264,MLflow,0.8112,Data Warehouse,0.8078,Desenvolvimento de APIs,0.8056
126,risk assessment,93,Gestão de Riscos,0.89,matched,ai_rerank,Gestão de Riscos,0.8242,Estatística Aplicada,0.8188,Avaliação de Modelos,0.8171,MLflow,0.8163,Machine Learning,0.8157
127,DCF,—,—,0.08,no_match,insufficient_confidence,MLflow,0.7864,Orquestração de Pipelines,0.7796,dbt,0.7747,Colaboração,0.7721,Langfuse,0.7719
128,kubernetes scaling,64,Kubernetes,0.98,matched,ai_rerank,Kubernetes,0.8608,Hadoop,0.8156,Spark,0.8141,Azure,0.8141,Docker,0.813
129,pull request,—,—,0.01,no_match,insufficient_confidence,Infrastructure as Code,0.8162,TypeScript,0.8144,Orquestração de Pipelines,0.8135,CI/CD,0.8109,Versionamento de Código,0.8079
130,javascript backend,35,JavaScript,1.0,matched,ai_rerank,JavaScript,0.9021,TypeScript,0.874,Java,0.873,Versionamento de Código,0.8152,LangChain,0.8141
131,text processing,42,Processamento de Linguagem Natural,0.94,matched,ai_rerank,Processamento de Linguagem Natural,0.8332,Spark,0.8279,Large Language Models,0.822,Escrita Profissional,0.8216,Streaming de Dados,0.8213
132,estatística aplicada,49,Estatística Aplicada,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
133,user research,88,UX Research,0.96,matched,ai_rerank,UX Research,0.8536,Design Thinking,0.8305,MLflow,0.8186,Experimentação e Testes A/B,0.8184,R,0.8133
134,product discovery,88,UX Research,0.58,matched,ai_rerank,Visão de Produto,0.8245,UX Research,0.8195,Experimentação e Testes A/B,0.8117,MLflow,0.81,Gestão de Produto,0.8079
135,data workflow management,—,—,0.09,no_match,insufficient_confidence,Orquestração de Pipelines,0.8488,MLflow,0.8474,Data Warehouse,0.8428,Qualidade de Dados,0.8277,Streaming de Dados,0.8252
136,named entity recognition,—,—,0.01,no_match,insufficient_confidence,Inteligência Emocional,0.7977,Employer Branding,0.7957,Gestão de Stakeholders,0.7952,Engenharia de Features,0.7942,Qualidade de Dados,0.7933
137,gestão de performance,97,Gestão de Desempenho,1.0,matched,ai_rerank,Gestão de Desempenho,0.885,Gestão do Tempo,0.8786,Gestão de Projetos,0.8574,Gestão de Mudanças,0.8571,Gestão de Pessoas,0.851
138,autoconsciência emocional,—,—,0.2,no_match,insufficient_confidence,Inteligência Emocional,0.8725,Autogestão,0.8416,Mentoria,0.8342,Tomada de Decisão,0.8268,Design Thinking,0.8266
139,product strategy,87,Gestão de Produto,0.87,matched,ai_rerank,Visão de Produto,0.8261,Design Thinking,0.8132,Gestão de Produto,0.812,UX Research,0.8109,Planejamento Estratégico,0.808
140,quantitative thinking,—,—,0.08,no_match,insufficient_confidence,Design Thinking,0.8362,Pensamento Crítico,0.8261,Orientação a Dados,0.8256,UX Research,0.8244,Pensamento Estratégico,0.8232
141,construção de APIs,61,Desenvolvimento de APIs,0.99,matched,ai_rerank,Desenvolvimento de APIs,0.8726,FastAPI,0.8688,Power BI,0.8354,Resolução de Conflitos,0.8332,Looker,0.8326
142,learning new skills,12,Aprendizado Contínuo,0.98,matched,ai_rerank,Aprendizado Contínuo,0.8379,Inovação,0.8286,Treinamento e Desenvolvimento,0.8239,Machine Learning,0.8181,Colaboração,0.8175
143,análise de texto,—,—,0.22,no_match,insufficient_confidence,Análise de Dados,0.8514,Processamento de Linguagem Natural,0.8474,Análise Financeira,0.8419,R,0.8358,Storytelling com Dados,0.8333
144,distributed computing spark,81,Spark,1.0,matched,ai_rerank,Spark,0.8733,Streaming de Dados,0.8557,Scala,0.8449,Hadoop,0.8224,Kubernetes,0.8095
145,métricas,—,—,0.15,no_match,insufficient_confidence,Avaliação de Modelos,0.8416,R,0.8342,Monitoramento e Observabilidade,0.8334,Adaptabilidade,0.8307,MLflow,0.8287
146,comunicação transparente,—,—,0.14,no_match,insufficient_confidence,Comunicação Assertiva,0.8673,Escrita Profissional,0.8427,Gestão de Desempenho,0.8355,Desenvolvimento de APIs,0.8332,Storytelling com Dados,0.8297
147,estratégia de produto,14,Visão de Produto,0.44,matched,ai_rerank,Visão de Produto,0.8637,Gestão de Produto,0.8521,Design Thinking,0.8348,Experimentação e Testes A/B,0.8333,Planejamento Estratégico,0.8332
148,google cloud,67,Google Cloud Platform,1.0,matched,ai_rerank,Google Cloud Platform,0.8572,Spark,0.8335,Azure,0.8248,Infrastructure as Code,0.821,AWS,0.8207
149,python para dados,31,Python,0.99,matched,ai_rerank,Python,0.8571,FastAPI,0.8471,Scala,0.8312,R,0.8311,Hadoop,0.8292
150,data engineering,51,Engenharia de Dados,1.0,matched,ai_rerank,Engenharia de Dados,0.8458,Data Warehouse,0.8445,Engenharia de Features,0.8372,Storytelling com Dados,0.8368,Análise de Dados,0.8336
151,pipelines de dados,51,Engenharia de Dados,0.97,matched,ai_rerank,Engenharia de Dados,0.8856,dbt,0.8823,Orquestração de Pipelines,0.873,Processamento de Linguagem Natural,0.8697,CI/CD,0.8624
