new_skill_id,skill_raw,taxonomy_id,skill_name,confidence_score,match_status,strategy_used
63,personal organization,1,Gestão de Pessoas,0.43,matched,ai_rerank
74,employee development,99,Employer Branding,0.43,matched,ai_rerank
2870,estratégia de produto,14,Visão de Produto,0.44,matched,ai_rerank
1900,organizational design,96,Desenvolvimento Organizacional,0.44,matched,ai_rerank
1958,organizational design,96,Desenvolvimento Organizacional,0.44,matched,ai_rerank
206,completude de dados,57,Qualidade de Dados,0.44,matched,ai_rerank
2810,detecção de anomalias,47,Séries Temporais,0.44,matched,ai_rerank
2819,estratégia de produto,14,Visão de Produto,0.44,matched,ai_rerank
682,EQ,4,Inteligência Emocional,0.44,matched,ai_rerank
1604,detecção de anomalias,47,Séries Temporais,0.44,matched,ai_rerank
261,completude de dados,57,Qualidade de Dados,0.44,matched,ai_rerank
1938,organizational design,96,Desenvolvimento Organizacional,0.44,matched,ai_rerank
2565,own initiative,11,Autogestão,0.44,matched,ai_rerank
2216,goals and key results,90,OKRs,0.44,matched,ai_rerank
766,planejamento empresarial,27,Planejamento Estratégico,0.44,matched,ai_rerank
602,estratégia de produto,14,Visão de Produto,0.44,matched,ai_rerank
891,emotional self-regulation,4,Inteligência Emocional,0.44,matched,ai_rerank
1388,estratégia de produto,14,Visão de Produto,0.44,matched,ai_rerank
1324,EQ,4,Inteligência Emocional,0.44,matched,ai_rerank
2279,goals and key results,90,OKRs,0.44,matched,ai_rerank
147,estratégia de produto,14,Visão de Produto,0.44,matched,ai_rerank
115,busca semântica,44,Embeddings e Busca Vetorial,0.44,matched,ai_rerank
2250,organizational design,96,Desenvolvimento Organizacional,0.44,matched,ai_rerank
1124,goals and key results,90,OKRs,0.44,matched,ai_rerank
181,detecção de anomalias,47,Séries Temporais,0.44,matched,ai_rerank
156,own initiative,11,Autogestão,0.44,matched,ai_rerank
2520,conectar estratégia e execução,17,Pensamento Estratégico,0.44,matched,ai_rerank
2227,conectar estratégia e execução,17,Pensamento Estratégico,0.44,matched,ai_rerank
1824,organizational design,96,Desenvolvimento Organizacional,0.44,matched,ai_rerank
2858,fazer apresentações,22,Apresentação e Oratória,0.44,matched,ai_rerank
2462,emotional self-regulation,4,Inteligência Emocional,0.44,matched,ai_rerank
1762,detecção de anomalias,47,Séries Temporais,0.44,matched,ai_rerank
2062,planejamento empresarial,27,Planejamento Estratégico,0.44,matched,ai_rerank
1710,data cleansing,39,Análise de Dados,0.45,matched,ai_rerank
1539,liderança em mudanças,28,Gestão de Mudanças,0.45,matched,ai_rerank
2477,coaching,24,Mentoria,0.45,matched,ai_rerank
2722,API REST,61,Desenvolvimento de APIs,0.45,matched,ai_rerank
2349,liderança em mudanças,28,Gestão de Mudanças,0.45,matched,ai_rerank
440,API REST,61,Desenvolvimento de APIs,0.45,matched,ai_rerank
2387,coaching,24,Mentoria,0.45,matched,ai_rerank
1225,problem decomposition,7,Resolução de Problemas,0.46,matched,ai_rerank
2667,self-directed work,11,Autogestão,0.46,matched,ai_rerank
2660,problem decomposition,7,Resolução de Problemas,0.46,matched,ai_rerank
1367,problem decomposition,7,Resolução de Problemas,0.46,matched,ai_rerank
163,people coaching,24,Mentoria,0.46,matched,ai_rerank
1450,data visualization,39,Análise de Dados,0.46,matched,ai_rerank
1022,database queries,56,Data Warehouse,0.46,matched,ai_rerank
1597,problem decomposition,7,Resolução de Problemas,0.46,matched,ai_rerank
2881,PM skills,10,Gestão do Tempo,0.46,matched,ai_rerank
1965,data visualization,39,Análise de Dados,0.46,matched,ai_rerank
1848,data visualization,39,Análise de Dados,0.46,matched,ai_rerank
2499,schema design,55,Modelagem de Dados,0.46,matched,ai_rerank
2012,python langchain,83,LangChain,0.46,matched,ai_rerank
623,people coaching,24,Mentoria,0.46,matched,ai_rerank
2075,creative problem solving design,3,Resolução de Conflitos,0.46,matched,ai_rerank
372,database queries,56,Data Warehouse,0.46,matched,ai_rerank
2308,python langchain,83,LangChain,0.46,matched,ai_rerank
1116,schema design,55,Modelagem de Dados,0.46,matched,ai_rerank
2524,apresentação em público,22,Apresentação e Oratória,0.47,matched,ai_rerank
2661,resilience,9,Adaptabilidade,0.47,matched,ai_rerank
1930,resilience,9,Adaptabilidade,0.47,matched,ai_rerank
237,resilience,9,Adaptabilidade,0.47,matched,ai_rerank
635,previsão de séries temporais,47,Séries Temporais,0.47,matched,ai_rerank
492,capability building,25,Liderança Técnica,0.47,matched,ai_rerank
2820,ownership mindset,30,Empreendedorismo,0.48,matched,ai_rerank
2346,capacitação,20,Facilitação,0.48,matched,ai_rerank
2659,proatividade,9,Adaptabilidade,0.48,matched,ai_rerank
112,seleção de candidatos,95,Recrutamento e Seleção,0.48,matched,ai_rerank
662,proatividade,9,Adaptabilidade,0.48,matched,ai_rerank
345,stakeholder communication,26,Gestão de Stakeholders,0.48,matched,ai_rerank
2164,ownership mindset,30,Empreendedorismo,0.48,matched,ai_rerank
1686,stakeholder communication,26,Gestão de Stakeholders,0.48,matched,ai_rerank
120,seleção de candidatos,95,Recrutamento e Seleção,0.48,matched,ai_rerank
565,contratação,95,Recrutamento e Seleção,0.49,matched,ai_rerank
1884,estatística,49,Estatística Aplicada,0.49,matched,ai_rerank
1820,IaC,40,Machine Learning,0.49,matched,ai_rerank
279,gestão de conflitos,3,Resolução de Conflitos,0.49,matched,ai_rerank
2209,IaC,40,Machine Learning,0.49,matched,ai_rerank
1627,análise de causa raiz,7,Resolução de Problemas,0.49,matched,ai_rerank
1615,guiding others,24,Mentoria,0.49,matched,ai_rerank
2402,análise de causa raiz,7,Resolução de Problemas,0.49,matched,ai_rerank
1063,LLM deployment,85,Langfuse,0.49,matched,ai_rerank
2983,consistência de dados,57,Qualidade de Dados,0.5,matched,ai_rerank
791,code review,72,Versionamento de Código,0.5,matched,ai_rerank
1018,consistência de dados,57,Qualidade de Dados,0.5,matched,ai_rerank
2864,code review,72,Versionamento de Código,0.5,matched,ai_rerank
2138,code review,72,Versionamento de Código,0.5,matched,ai_rerank
1980,KPI,91,Análise Financeira,0.5,matched,ai_rerank
335,drive innovation,29,Inovação,0.51,matched,ai_rerank
853,excel,78,Excel Avançado,0.51,matched,ai_rerank
2564,drive innovation,29,Inovação,0.51,matched,ai_rerank
1471,Excel,78,Excel Avançado,0.51,matched,ai_rerank
792,Excel,78,Excel Avançado,0.51,matched,ai_rerank
2613,excel,78,Excel Avançado,0.51,matched,ai_rerank
950,PBI,91,Análise Financeira,0.51,matched,ai_rerank
2255,Excel,78,Excel Avançado,0.51,matched,ai_rerank
591,PBI,91,Análise Financeira,0.51,matched,ai_rerank
2816,raciocínio crítico,6,Pensamento Crítico,0.51,matched,ai_rerank
463,kubernetes pods,64,Kubernetes,0.51,matched,ai_rerank
1844,deploy com docker,63,Docker,0.51,matched,ai_rerank
1145,data loading,54,Streaming de Dados,0.51,matched,ai_rerank
1157,deploy com docker,63,Docker,0.51,matched,ai_rerank
2648,drive innovation,29,Inovação,0.51,matched,ai_rerank
122,excel,78,Excel Avançado,0.51,matched,ai_rerank
2270,resistência a mudanças,28,Gestão de Mudanças,0.52,matched,ai_rerank
1334,independent services,75,Microsserviços,0.52,matched,ai_rerank
2327,semantic similarity,44,Embeddings e Busca Vetorial,0.52,matched,ai_rerank
1402,teamwork,13,Colaboração,0.52,matched,ai_rerank
2092,proactiveness,9,Adaptabilidade,0.52,matched,ai_rerank
2888,aks,66,AWS,0.52,matched,ai_rerank
2414,technical design,25,Liderança Técnica,0.52,matched,ai_rerank
462,independent services,75,Microsserviços,0.52,matched,ai_rerank
717,self-learning,12,Aprendizado Contínuo,0.52,matched,ai_rerank
75,managing group dynamics,20,Facilitação,0.52,matched,ai_rerank
654,managing group dynamics,20,Facilitação,0.52,matched,ai_rerank
2134,diagnóstico de problemas,7,Resolução de Problemas,0.52,matched,ai_rerank
2359,proactiveness,9,Adaptabilidade,0.52,matched,ai_rerank
535,teamwork,13,Colaboração,0.52,matched,ai_rerank
2822,proactiveness,9,Adaptabilidade,0.52,matched,ai_rerank
1619,proactiveness,9,Adaptabilidade,0.52,matched,ai_rerank
2586,organizational effectiveness,96,Desenvolvimento Organizacional,0.53,matched,ai_rerank
727,organizational effectiveness,96,Desenvolvimento Organizacional,0.53,matched,ai_rerank
742,organizational effectiveness,96,Desenvolvimento Organizacional,0.53,matched,ai_rerank
564,negotiating deals,8,Tomada de Decisão,0.53,matched,ai_rerank
2904,negotiating deals,8,Tomada de Decisão,0.53,matched,ai_rerank
1973,análise estatística,33,R,0.53,matched,ai_rerank
1382,organizational effectiveness,96,Desenvolvimento Organizacional,0.53,matched,ai_rerank
1212,estratégia de negócios,17,Pensamento Estratégico,0.53,matched,ai_rerank
2517,estratégia de negócios,17,Pensamento Estratégico,0.53,matched,ai_rerank
2331,estratégia de negócios,17,Pensamento Estratégico,0.53,matched,ai_rerank
1969,análise estatística,33,R,0.53,matched,ai_rerank
690,negotiating deals,8,Tomada de Decisão,0.53,matched,ai_rerank
2083,redes neurais,41,Deep Learning,0.54,matched,ai_rerank
2307,cenários financeiros,92,Modelagem Financeira,0.54,matched,ai_rerank
2784,kubernetes cluster,64,Kubernetes,0.54,matched,ai_rerank
862,liderança de colaboradores,1,Gestão de Pessoas,0.54,matched,ai_rerank
1180,redes neurais,41,Deep Learning,0.54,matched,ai_rerank
2436,kubernetes cluster,64,Kubernetes,0.54,matched,ai_rerank
1793,data literacy,21,Storytelling com Dados,0.54,matched,ai_rerank
22,cloud computing,81,Spark,0.54,matched,ai_rerank
1777,deal making,8,Tomada de Decisão,0.54,matched,ai_rerank
236,image recognition,99,Employer Branding,0.55,matched,ai_rerank
1134,image classification,48,Visão Computacional,0.55,matched,ai_rerank
2146,image classification,48,Visão Computacional,0.55,matched,ai_rerank
547,containers,63,Docker,0.55,matched,ai_rerank
2184,image recognition,99,Employer Branding,0.55,matched,ai_rerank
1521,containers,63,Docker,0.55,matched,ai_rerank
382,containers,63,Docker,0.55,matched,ai_rerank
1209,image classification,48,Visão Computacional,0.55,matched,ai_rerank
892,aprendizado autodidata,12,Aprendizado Contínuo,0.55,matched,ai_rerank
33,auto-organização,11,Autogestão,0.56,matched,ai_rerank
2974,docker images,63,Docker,0.56,matched,ai_rerank
1673,emotional resilience,4,Inteligência Emocional,0.56,matched,ai_rerank
790,emotional resilience,4,Inteligência Emocional,0.56,matched,ai_rerank
1399,emotional resilience,4,Inteligência Emocional,0.56,matched,ai_rerank
1849,data consistency,57,Qualidade de Dados,0.56,matched,ai_rerank
786,adaptive mindset,9,Adaptabilidade,0.57,matched,ai_rerank
1497,tech mentor,24,Mentoria,0.57,matched,ai_rerank
2195,modelos de ML,84,MLflow,0.57,matched,ai_rerank
2446,LGPD compliance,71,Segurança de Dados,0.57,matched,ai_rerank
84,LGPD compliance,71,Segurança de Dados,0.57,matched,ai_rerank
2512,apache flink,81,Spark,0.57,matched,ai_rerank
2140,CV,23,Escrita Profissional,0.57,matched,ai_rerank
210,tech mentor,24,Mentoria,0.57,matched,ai_rerank
2221,adaptive mindset,9,Adaptabilidade,0.57,matched,ai_rerank
244,modelos de ML,84,MLflow,0.57,matched,ai_rerank
2718,tech mentor,24,Mentoria,0.57,matched,ai_rerank
134,product discovery,88,UX Research,0.58,matched,ai_rerank
266,orientação ao cliente,16,Foco no Cliente,0.58,matched,ai_rerank
251,contract negotiation,5,Negociação,0.58,matched,ai_rerank
454,projeções financeiras,92,Modelagem Financeira,0.58,matched,ai_rerank
772,innovative solutions,29,Inovação,0.58,matched,ai_rerank
296,sistemas distribuídos,82,Hadoop,0.58,matched,ai_rerank
293,build automation,65,CI/CD,0.58,matched,ai_rerank
1369,contract negotiation,5,Negociação,0.58,matched,ai_rerank
2378,prompting,24,Mentoria,0.58,matched,ai_rerank
363,innovative solutions,29,Inovação,0.58,matched,ai_rerank
1224,prompting,24,Mentoria,0.58,matched,ai_rerank
1169,product discovery,88,UX Research,0.58,matched,ai_rerank
2915,scalable data systems,37,Scala,0.58,matched,ai_rerank
1975,negociar contratos,5,Negociação,0.58,matched,ai_rerank
2509,negociar contratos,5,Negociação,0.58,matched,ai_rerank
1854,projeções financeiras,92,Modelagem Financeira,0.58,matched,ai_rerank
2855,scalable data systems,37,Scala,0.58,matched,ai_rerank
1247,sistemas distribuídos,82,Hadoop,0.58,matched,ai_rerank
1274,sistemas distribuídos,82,Hadoop,0.58,matched,ai_rerank
222,team collaboration,13,Colaboração,0.58,matched,ai_rerank
2805,trace de LLMs,85,Langfuse,0.58,matched,ai_rerank
1699,orientação ao cliente,16,Foco no Cliente,0.58,matched,ai_rerank
1564,financial scenarios,92,Modelagem Financeira,0.59,matched,ai_rerank
1651,self-management,11,Autogestão,0.59,matched,ai_rerank
759,financial scenarios,92,Modelagem Financeira,0.59,matched,ai_rerank
434,self-management,11,Autogestão,0.59,matched,ai_rerank
1469,business strategy,27,Planejamento Estratégico,0.59,matched,ai_rerank
2275,transformação de dados,52,ETL e ELT,0.59,matched,ai_rerank
1371,power query excel,78,Excel Avançado,0.59,matched,ai_rerank
185,business strategy,27,Planejamento Estratégico,0.59,matched,ai_rerank
2740,transformação de dados,52,ETL e ELT,0.59,matched,ai_rerank
2580,transformação de dados,52,ETL e ELT,0.59,matched,ai_rerank
475,self-management,11,Autogestão,0.59,matched,ai_rerank
2357,transformação de dados,52,ETL e ELT,0.59,matched,ai_rerank
1142,technical writing,23,Escrita Profissional,0.59,matched,ai_rerank
1926,self-management,11,Autogestão,0.59,matched,ai_rerank
778,análise de demonstrativos,91,Análise Financeira,0.6,matched,ai_rerank
282,análise de decisão,8,Tomada de Decisão,0.6,matched,ai_rerank
539,análise de decisão,8,Tomada de Decisão,0.6,matched,ai_rerank
2078,análise de demonstrativos,91,Análise Financeira,0.6,matched,ai_rerank
2942,talent attraction,99,Employer Branding,0.6,matched,ai_rerank
2853,customer obsession,16,Foco no Cliente,0.6,matched,ai_rerank
2394,talent attraction,99,Employer Branding,0.6,matched,ai_rerank
2485,customer obsession,16,Foco no Cliente,0.6,matched,ai_rerank
1766,analytical databases,39,Análise de Dados,0.61,matched,ai_rerank
2389,advanced java,34,Java,0.61,matched,ai_rerank
2676,advanced java,34,Java,0.61,matched,ai_rerank
2945,GitHub,72,Versionamento de Código,0.61,matched,ai_rerank
2907,LLM,85,Langfuse,0.61,matched,ai_rerank
1244,basic SQL,32,SQL,0.61,matched,ai_rerank
2800,typed javascript,36,TypeScript,0.61,matched,ai_rerank
2823,basic SQL,32,SQL,0.61,matched,ai_rerank
1584,emotional awareness,4,Inteligência Emocional,0.61,matched,ai_rerank
2171,GitHub,72,Versionamento de Código,0.61,matched,ai_rerank
812,compliance program,94,Compliance e Regulação,0.61,matched,ai_rerank
2042,automação de build,65,CI/CD,0.61,matched,ai_rerank
1903,analytical databases,39,Análise de Dados,0.61,matched,ai_rerank
1551,LLM,85,Langfuse,0.61,matched,ai_rerank
1979,LLM,85,Langfuse,0.61,matched,ai_rerank
2004,github,72,Versionamento de Código,0.61,matched,ai_rerank
2749,compliance program,94,Compliance e Regulação,0.61,matched,ai_rerank
1309,typed javascript,36,TypeScript,0.61,matched,ai_rerank
997,automação de build,65,CI/CD,0.61,matched,ai_rerank
154,emotional awareness,4,Inteligência Emocional,0.61,matched,ai_rerank
3030,advanced java,34,Java,0.61,matched,ai_rerank
718,decoupled services,75,Microsserviços,0.62,matched,ai_rerank
1882,extração de dados,52,ETL e ELT,0.62,matched,ai_rerank
2707,apoiar crescimento,24,Mentoria,0.62,matched,ai_rerank
679,programação em python,31,Python,0.62,matched,ai_rerank
708,análise exploratória,39,Análise de Dados,0.62,matched,ai_rerank
645,SQL básico,32,SQL,0.62,matched,ai_rerank
606,shell automation,38,Bash e Shell Script,0.62,matched,ai_rerank
238,programação em python,31,Python,0.62,matched,ai_rerank
1925,usar dados para decidir,15,Orientação a Dados,0.62,matched,ai_rerank
2691,usar dados para decidir,15,Orientação a Dados,0.62,matched,ai_rerank
1136,SQL básico,32,SQL,0.62,matched,ai_rerank
2588,desenvolvimento ágil,19,Metodologias Ágeis,0.62,matched,ai_rerank
2032,shell automation,38,Bash e Shell Script,0.62,matched,ai_rerank
2764,programação em python,31,Python,0.62,matched,ai_rerank
2219,extração de dados,52,ETL e ELT,0.62,matched,ai_rerank
959,shell automation,38,Bash e Shell Script,0.62,matched,ai_rerank
2849,análise de riscos,93,Gestão de Riscos,0.63,matched,ai_rerank
104,transformar dados em histórias,21,Storytelling com Dados,0.63,matched,ai_rerank
1668,escrever bem,23,Escrita Profissional,0.64,matched,ai_rerank
973,looker reports,79,Looker,0.64,matched,ai_rerank
2295,OCR,90,OKRs,0.64,matched,ai_rerank
1072,FastAPI backend,62,FastAPI,0.64,matched,ai_rerank
2594,looker reports,79,Looker,0.64,matched,ai_rerank
2214,architectural decisions,25,Liderança Técnica,0.64,matched,ai_rerank
2531,organização pessoal,1,Gestão de Pessoas,0.64,matched,ai_rerank
2572,distributed systems,82,Hadoop,0.64,matched,ai_rerank
2630,FastAPI backend,62,FastAPI,0.64,matched,ai_rerank
2376,architectural decisions,25,Liderança Técnica,0.64,matched,ai_rerank
2827,OKR planning,90,OKRs,0.64,matched,ai_rerank
489,autonomous work,11,Autogestão,0.64,matched,ai_rerank
1171,organização pessoal,1,Gestão de Pessoas,0.64,matched,ai_rerank
1986,organização pessoal,1,Gestão de Pessoas,0.64,matched,ai_rerank
55,organização pessoal,1,Gestão de Pessoas,0.64,matched,ai_rerank
436,FastAPI backend,62,FastAPI,0.64,matched,ai_rerank
1865,OKR planning,90,OKRs,0.64,matched,ai_rerank
214,looker reports,79,Looker,0.64,matched,ai_rerank
2529,docker compose,63,Docker,0.64,matched,ai_rerank
1670,guiar time técnico,25,Liderança Técnica,0.64,matched,ai_rerank
1029,azure ML,68,Azure,0.64,matched,ai_rerank
2028,docker compose,63,Docker,0.64,matched,ai_rerank
1711,looker reports,79,Looker,0.64,matched,ai_rerank
2383,azure ML,68,Azure,0.64,matched,ai_rerank
369,comunicação escrita,21,Storytelling com Dados,0.65,matched,ai_rerank
3010,critical judgment,17,Pensamento Estratégico,0.65,matched,ai_rerank
1569,company culture,99,Employer Branding,0.65,matched,ai_rerank
1562,liderança de time,10,Gestão do Tempo,0.65,matched,ai_rerank
1557,automação shell,38,Bash e Shell Script,0.65,matched,ai_rerank
2113,comunicação escrita,21,Storytelling com Dados,0.65,matched,ai_rerank
1032,company culture,99,Employer Branding,0.65,matched,ai_rerank
374,comunicação escrita,21,Storytelling com Dados,0.65,matched,ai_rerank
1774,continuous deployment,65,CI/CD,0.65,matched,ai_rerank
755,liderança de time,10,Gestão do Tempo,0.65,matched,ai_rerank
721,model performance,45,Engenharia de Features,0.65,matched,ai_rerank
1482,critical judgment,17,Pensamento Estratégico,0.65,matched,ai_rerank
2887,company culture,99,Employer Branding,0.65,matched,ai_rerank
300,critical judgment,17,Pensamento Estratégico,0.65,matched,ai_rerank
798,privacidade de dados,71,Segurança de Dados,0.66,matched,ai_rerank
543,react,9,Adaptabilidade,0.66,matched,ai_rerank
1010,vector databases,44,Embeddings e Busca Vetorial,0.66,matched,ai_rerank
2886,react,9,Adaptabilidade,0.66,matched,ai_rerank
286,facilitation techniques,20,Facilitação,0.66,matched,ai_rerank
1087,técnicas de facilitação,20,Facilitação,0.66,matched,ai_rerank
1327,vector databases,44,Embeddings e Busca Vetorial,0.66,matched,ai_rerank
991,facilitation techniques,20,Facilitação,0.66,matched,ai_rerank
1100,project coordination,18,Gestão de Projetos,0.66,matched,ai_rerank
826,modelagem estatística,49,Estatística Aplicada,0.66,matched,ai_rerank
2958,API design,61,Desenvolvimento de APIs,0.66,matched,ai_rerank
1559,API design,61,Desenvolvimento de APIs,0.66,matched,ai_rerank
1511,API design,61,Desenvolvimento de APIs,0.66,matched,ai_rerank
315,react,9,Adaptabilidade,0.66,matched,ai_rerank
281,mentalidade adaptativa,9,Adaptabilidade,0.66,matched,ai_rerank
2035,end-to-end tests,73,Testes Automatizados,0.66,matched,ai_rerank
568,privacidade de dados,71,Segurança de Dados,0.66,matched,ai_rerank
578,prefect,53,Orquestração de Pipelines,0.66,matched,ai_rerank
2096,modelagem estatística,49,Estatística Aplicada,0.66,matched,ai_rerank
2121,prefect,53,Orquestração de Pipelines,0.66,matched,ai_rerank
2668,API design,61,Desenvolvimento de APIs,0.66,matched,ai_rerank
61,vector databases,44,Embeddings e Busca Vetorial,0.66,matched,ai_rerank
362,prefect,53,Orquestração de Pipelines,0.66,matched,ai_rerank
680,modelagem estatística,49,Estatística Aplicada,0.66,matched,ai_rerank
738,performance de modelos,45,Engenharia de Features,0.67,matched,ai_rerank
1859,testes de integração,73,Testes Automatizados,0.67,matched,ai_rerank
1279,organizar tarefas,10,Gestão do Tempo,0.67,matched,ai_rerank
1325,continuous delivery,65,CI/CD,0.67,matched,ai_rerank
1330,agile project management,18,Gestão de Projetos,0.67,matched,ai_rerank
1547,entrega contínua,65,CI/CD,0.67,matched,ai_rerank
2217,statistical inference,49,Estatística Aplicada,0.67,matched,ai_rerank
183,organizar tarefas,10,Gestão do Tempo,0.67,matched,ai_rerank
2833,statistical inference,49,Estatística Aplicada,0.67,matched,ai_rerank
304,performance de modelos,45,Engenharia de Features,0.67,matched,ai_rerank
1398,extração de insights,39,Análise de Dados,0.68,matched,ai_rerank
1384,extração de insights,39,Análise de Dados,0.68,matched,ai_rerank
1223,azure data factory,68,Azure,0.68,matched,ai_rerank
1806,vertex ai,67,Google Cloud Platform,0.68,matched,ai_rerank
701,testing,50,Experimentação e Testes A/B,0.68,matched,ai_rerank
946,career mentoring,24,Mentoria,0.68,matched,ai_rerank
1577,career mentoring,24,Mentoria,0.68,matched,ai_rerank
616,text generation,42,Processamento de Linguagem Natural,0.69,matched,ai_rerank
1951,employer reputation,99,Employer Branding,0.69,matched,ai_rerank
1946,análise de vídeo,48,Visão Computacional,0.69,matched,ai_rerank
640,cloud run,67,Google Cloud Platform,0.69,matched,ai_rerank
1725,coworking,13,Colaboração,0.69,matched,ai_rerank
487,análise de vídeo,48,Visão Computacional,0.69,matched,ai_rerank
2665,data-driven,15,Orientação a Dados,0.69,matched,ai_rerank
609,assumir riscos,30,Empreendedorismo,0.69,matched,ai_rerank
619,ideação,29,Inovação,0.69,matched,ai_rerank
2976,ideação,29,Inovação,0.69,matched,ai_rerank
1387,ideação,29,Inovação,0.69,matched,ai_rerank
2224,data-driven,15,Orientação a Dados,0.69,matched,ai_rerank
2097,assumir riscos,30,Empreendedorismo,0.69,matched,ai_rerank
1918,text generation,42,Processamento de Linguagem Natural,0.69,matched,ai_rerank
2606,employer reputation,99,Employer Branding,0.69,matched,ai_rerank
859,hiring,95,Recrutamento e Seleção,0.69,matched,ai_rerank
1206,priority management,87,Gestão de Produto,0.7,matched,ai_rerank
1177,dbt cloud,80,dbt,0.7,matched,ai_rerank
1834,content writing,22,Apresentação e Oratória,0.7,matched,ai_rerank
2814,people development,24,Mentoria,0.7,matched,ai_rerank
2232,clarity in communication,2,Comunicação Assertiva,0.7,matched,ai_rerank
2583,node.js,35,JavaScript,0.7,matched,ai_rerank
2019,priority management,87,Gestão de Produto,0.7,matched,ai_rerank
2979,people development,24,Mentoria,0.7,matched,ai_rerank
373,dbt cloud,80,dbt,0.7,matched,ai_rerank
1278,node.js,35,JavaScript,0.7,matched,ai_rerank
188,gestão de escopo,18,Gestão de Projetos,0.7,matched,ai_rerank
519,clarity in communication,2,Comunicação Assertiva,0.7,matched,ai_rerank
503,cloudformation,69,Infrastructure as Code,0.71,matched,ai_rerank
2811,cloudformation,69,Infrastructure as Code,0.71,matched,ai_rerank
